M2530253,14,4,2,1,2,0,0,8,0,8,0,9,0,1,0,0,2,0,1,2
M2540254,14,4,2,1,2,0,0,8,0,8,0,9,0,1,0,0,2,0,1,2
M2550255,14,4,2,1,2,0,0,8,0,8,0,9,0,1,0,0,2,0,1,2
M2560256,14,4,2,1,2,0,0,8,0,8,0,9,0,1,0,0,2,0,1,2
M2570257,14,4,2,1,2,0,0,8,0,8,0,9,0,1,0,0,2,0,1,2
M2580258,14,4,2,1,2,0,0,8,0,8,0,9,0,1,0,0,2,0,1,2
M2590259,14,4,2,1,2,0,0,8,0,8,0,9,0,1,0,0,2,0,1,2
M2600260,14,4,2,1,2,0,0,8,0,8,0,9,0,1,0,0,2,0,1,2
M2610261,14,5,2,1,2,0,0,8,0,8,0,9,0,1,0,0,2,0,1,2
M2620262,14,5,2,1,2,0,0,8,0,8,0,9,0,1,0,0,2,0,1,2
M2630263,14,5,2,1,2,0,0,8,0,8,0,9,0,1,0,0,2,0,1,2
