times,lightning,livfree,aperture,fubar,pumpty,rugreasy,721mcd,08,coyote,10,rhombus,12,dragula1313,14,15,16,17,18,19,20
M230023,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M240024,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M250025,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M260026,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M270027,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M280028,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M290029,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M300030,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M310031,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M320032,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M330033,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M340034,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M350035,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M360036,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M370037,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M380038,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
M390039,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
M400040,6,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
M410041,6,0,0,1,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0
M420042,6,0,0,2,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0
M430043,6,0,0,3,1,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0
M440044,6,0,0,3,1,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0
M450045,6,0,1,3,1,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0
M460046,6,0,1,3,1,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0
M470047,7,0,1,3,1,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0
